"TrajNum","MetNum","Year","Month","Day","Hour","Min","ForecastHour","AgeTraj","Lat","Lon","Elev","PRESSURE","AIR_TEMP","MIXDEPTH","TERR_MSL","PBL","ID","YMD","ID2"
1,1,13,6,16,10,0,2,9,50.316,-63.233,71.7,987.4,281.6,708.7,35,0.6,"2013-06-15-22:00-0.6","2013-06-15","2013-06-15-22:00-0.6-1"
1,1,13,6,16,3,0,3,0,51.6,-66.425,371.3,893,273.4,618.9,568,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,4,0,2,1,51.385,-65.981,344.5,891.8,273.9,610.7,603.8,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,5,0,1,2,51.189,-65.568,338.5,889.7,274.5,883.3,627.1,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,6,0,0,3,51.013,-65.167,291.7,903.5,275.9,1001.3,550.6,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,7,0,1,4,50.849,-64.778,234.8,916.8,276.3,732.2,486.7,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,8,0,2,5,50.714,-64.425,124.3,948.1,278.1,696,324.7,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,9,0,3,6,50.645,-64.131,81,960.8,279,628.6,253.4,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,10,0,2,7,50.589,-63.855,71,964.8,280,710.1,230.5,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,11,0,1,8,50.527,-63.586,71.3,969.5,281,792.4,186.9,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
1,1,13,6,16,12,0,0,9,50.467,-63.3,80.5,975.7,282.1,875.7,121.3,0.6,"2013-06-15-24:00-0.6","2013-06-15","2013-06-15-24:00-0.6-1"
