"altitude","temp.min.to","temp.max.to","altitude.disp","temp.min.disp","est.prob","date","accuracy","l2hit","n.ends","year","l2.ep","acc.ep","wvec","index"
0.8,16.3539191961069,29.1566126894335,52.8303668775152,15.1185069362403,0.0326343101914972,"2014-07-19",0.882230792049837,0.488549618320611,2826,2014,0.141698473282443,0.879301394245031,4e-04,1
1,14.7670218570636,29.6791079326249,66.7844675924291,14.3467788616708,0.939937068847939,"2014-07-25",0.913230495401958,0.311068702290076,1396,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,16.8922857299696,29.767040983083,33.3266535565692,14.7347105527792,0.920107974205166,"2014-07-11",0.890981904479383,0.198473282442748,1133,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,15.5937898226933,29.5539652599345,36.7722444786845,15.6942109426549,0.0846345704048872,"2014-07-08",0.885790566597449,0.333969465648855,2063,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,14.6277375194076,31.0055054296339,34.6946074672881,12.9169731333244,0.0444550814572722,"2014-07-30",0.88504894690003,0.261450381679389,1925,2014,0.141698473282443,0.879301394245031,4e-04,1
0.6,16.4249917678876,29.0609879530886,35.0323008365238,15.9903101650072,0.628565417136997,"2014-06-28",0.880747552654998,0.482824427480916,2957,2014,0.141698473282443,0.879301394245031,4e-04,1
0.6,16.7390427668453,28.9392885315131,18.0094795103403,13.7985183497644,0.892328683752567,"2014-07-02",0.886532186294868,0.515267175572519,3012,2014,0.141698473282443,0.879301394245031,4e-04,1
1,13.6580398519316,28.7053141070663,57.98211241481,15.8243958726922,0.0838830904103816,"2014-07-28",0.907742509641056,0.146946564885496,980,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,15.0538692690495,30.3310492954162,42.7357998456441,13.8539940451964,0.964941279729828,"2014-07-02",0.89394838326906,0.540076335877863,2821,2014,0.141698473282443,0.879301394245031,4e-04,1
0.4,15.6862120837369,28.8589817480481,79.7390161589932,15.1976291105749,0.825132809579372,"2014-07-09",0.898843073272026,0.272900763358779,1819,2014,0.141698473282443,0.879301394245031,4e-04,1
0.6,15.3884853980048,30.0212403111549,24.1984870305002,14.085218563024,0.184009724063799,"2014-08-04",0.882527439928805,0.50763358778626,2850,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,13.7467132856414,28.5475083532916,78.4649275049232,16.0759657152685,0.465062577510253,"2014-07-16",0.902699495698606,0.353053435114504,1547,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,15.1238097239717,29.0480446267549,50.7480034639356,13.984102714381,0.0719673130661249,"2014-07-31",0.907149213883121,0.305343511450382,1237,2014,0.141698473282443,0.879301394245031,4e-04,1
0.4,13.2632969661061,29.2631452214932,50.607398740323,14.7242279875832,0.00152163044549525,"2014-07-29",0.893651735390092,0.309160305343511,1445,2014,0.141698473282443,0.879301394245031,4e-04,1
1,15.2022201190207,29.3953151415017,57.5915571016383,15.0418596584783,0.632129303878173,"2014-07-26",0.89513497478493,0.177480916030534,1035,2014,0.141698473282443,0.879301394245031,4e-04,1
